Range,Captures,Length
30-35,4,33.96
35-40,6,30.37
40-45,4,32.57
45-50,8,31.5
50-55,12,36.46
55-60,11,35.54
60-65,15,36.16
65-70,10,35.32
70-75,5,35.99
75-80,0,39.55
80-85,1,44.33
,,42.73
,,42.15
,,42.43
,,49.96
,,46.04
,,48.76
,,47.78
,,45.81
,,49.05
,,49.65
,,49.71
,,54.29
,,52.01
,,51.15
,,54.42
,,52.62
,,53.27
,,54.07
,,50.4
,,53.69
,,51.3
,,54.29
,,54.58
,,55.11
,,57.65
,,56.35
,,55.68
,,58.4
,,58.06
,,57.79
,,56.54
,,57.03
,,57.64
,,59.27
,,64.79
,,61.96
,,60.08
,,62.34
,,63.84
,,60.61
,,64.91
,,60.35
,,62.63
,,63.33
,,63
,,64.55
,,60.03
,,64.75
,,60.24
,,69.01
,,65.07
,,65.77
,,65.3
,,68.24
,,65.28
,,67.54
,,68.49
,,66.98
,,65.67
,,70.26
,,70.94
,,70.52
,,72.01
,,74.34
,,81.63
